"question_n","question","answer","que","ans","confidence"
"Q2.1","What is produced from element Air + element Earth? Select all that applies.","IM_9S3O3pomgChtumi,IM_51MGHit9BsgMeSW","Air Earth","ars,sulfur",5
"Q2.11","What is produced from element Fire + element Water? Select all that applies.","IM_9S3O3pomgChtumi,IM_51MGHit9BsgMeSW","Fire Water","ars,sulfur",5
"Q2.13","What is produced from element Air + element Earth + element Fire? Select all that applies.","IM_begW93dGkG8Qm9w,IM_eOEDQYy9a8iuvHM,IM_5BcoaHMKzrRjjwy","Air Earth Fire","anti,bis,lead",1
"Q2.15","What is produced from element Air + element Earth + element Water? Select all that applies.","IM_begW93dGkG8Qm9w,IM_eOEDQYy9a8iuvHM,IM_5BcoaHMKzrRjjwy","Air Earth Water","anti,bis,lead",1
"Q2.17","What is produced from element Air + element Fire + element Water? Select all that applies.","IM_begW93dGkG8Qm9w,IM_9S3O3pomgChtumi,IM_51MGHit9BsgMeSW","Air Fire Water","anti,ars,sulfur",5
"Q2.19","What is produced from element Fire + element Earth + element Water? Select all that applies.","IM_9S3O3pomgChtumi,IM_eOEDQYy9a8iuvHM,IM_1ZAHHCB57iws7kO,IM_51MGHit9BsgMeSW","Fire Earth Water","ars,bis,gold,sulfur",1
"Q2.21","What is produced from element Fire + element Earth + element Air + element Water? Select all that applies.","IM_begW93dGkG8Qm9w,IM_eOEDQYy9a8iuvHM","Fire Earth Air Water","anti,bis",5
"Q2.3","What is produced from element Air + element Fire? Select all that applies.","IM_begW93dGkG8Qm9w,IM_9S3O3pomgChtumi","Air Fire","anti,ars",5
"Q2.5","What is produced from element Air + element Water? Select all that applies.","IM_begW93dGkG8Qm9w,IM_51MGHit9BsgMeSW","Air Water","anti,sulfur",5
"Q2.7","What is produced from element Earth + element Fire? Select all that applies.","IM_9S3O3pomgChtumi,IM_eOEDQYy9a8iuvHM","Earth Fire","ars,bis",5
"Q2.9","What is produced from element Earth + element Water? Select all that applies.","IM_eOEDQYy9a8iuvHM,IM_51MGHit9BsgMeSW","Earth Water","bis,sulfur",5
